,CAS,logBCF,Dataset,SMILES
77,488-23-3,2.82,uci,Cc1c(ccc(c1C)C)C
78,60-51-5,0.18,uci,S=P(SCC(=O)NC)(OC)OC
79,608-73-1,2.81,uci,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
80,60851-34-5,3.98,uci,o2c1c(cc(c(c1Cl)Cl)Cl)c3cc(c(c(c23)Cl)Cl)Cl
81,60782-58-3,2.11,uci,CCCCCC[Si](CCCCCC)(CCCCCC)O
82,60628-17-3,1.55,uci,CCCCCCCCCCCCCOP(Oc1ccccc1)Oc1ccccc1
83,606-28-0,1.01,uci,O=C(c1ccccc1C(=O)OC)c1ccccc1
84,606-20-2,1.34,uci,O=[N+]([O-])c1cccc(c1C)[N+](=O)[O-]
85,60-57-1/72-20-8,3.89,uci,O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl
86,605-02-7,3.51,uci,c1c(c2c(cc1)cccc2)c1ccccc1
87,56-72-4,2.73,uci,CCOP(=S)(Oc1ccc2c(c1)oc(=O)c(c2C)Cl)OCC
88,603-11-2,0.55,uci,O=C(c1cccc(c1C(=O)O)[N+](=O)[O-])O
89,60-29-7,0.61,uci,CCOCC
90,60207-90-1,2.06,uci,n1cnn(c1)CC2(OCC(O2)CCC)c3ccc(cc3Cl)Cl
91,60168-88-9,2.05,uci,OC(c1cncnc1)(c2ccc(cc2)Cl)c3ccccc3Cl
92,60145-21-3,4.58,uci,Clc1cc(c(cc1)Cl)c1c(cc(cc1Cl)Cl)Cl
93,60123-65-1,4.08,uci,Clc1cc(ccc1Cl)Oc1c(cc(c(c1)Cl)Cl)Cl
94,60123-64-0,4.21,uci,Clc1c(cc(c(c1)Cl)Cl)Oc1ccc(cc1Cl)Cl
95,608-93-5,3.84,uci,Clc1c(c(cc(c1Cl)Cl)Cl)Cl
96,609-89-2,1.35,uci,Oc1c(cc(cc1Cl)Cl)[N+](=O)[O-]
97,610-39-9,0.21,uci,O=[N+](c1ccc(cc1[N+](=O)[O-])C)[O-]
98,611-06-3,2.07,uci,O=[N+]([O-])c1ccc(cc1Cl)Cl
99,61968-52-3,0.73,uci,O=C(OCCN(c1cc(c(cc1)N=Nc1ccc(cc1Cl)[N+](=O)[O-])NC(=O)CC)CCOC(=O)C)C
100,61949-76-6,2.65,uci,O=C(OCc2cccc(Oc1ccccc1)c2)C3C(C=C(Cl)Cl)C3(C)(C)
101,618-62-2,2.23,uci,O=[N+]([O-])c1cc(cc(c1)Cl)Cl
102,61-82-5,0.24,uci,C1=NN=C(N1)N
103,6165-51-1,2.86,uci,c1ccc(cc1)C(c2cc(ccc2C)C)C
104,616-44-4,0.72,uci,Cc1cscc1
105,615-74-7,0.62,uci,Oc1cc(ccc1Cl)C
106,615-54-3,3.52,uci,Brc1cc(ccc1Br)Br
107,61328-46-9,4.24,uci,Clc1cc(ccc1Cl)Oc1c(cc(cc1)Cl)Cl
108,61328-45-8,4.11,uci,Clc1c(cc(c(c1)Cl)Cl)Oc1ccc(cc1)Cl
109,613-12-7,2.41,uci,Cc1cc2c(cc3c(c2)cccc3)cc1
110,6130-75-2,2.8,uci,O(c1cc(c(cc1Cl)Cl)Cl)C
111,612-22-6,1.14,uci,CCc1c(cccc1)[N+](=O)[O-]
112,61213-25-0,2.46,uci,O=C2N(c1cccc(c1)C(F)(F)F)CC(CCl)C2Cl
113,611-21-2,0.9,uci,Cc1ccccc1NC
114,59722-76-8,2.02,uci,O=C1c2ccccc2C(=O)c2c1c(cc(c2N)Oc1ccc(cc1)Br)O
115,59669-26-0,0.8,uci,O=C(ON=C(C)SC)N(C)SN(C(=O)ON=C(C)SC)C
116,59-50-7,0.98,uci,Cc1cc(ccc1Cl)O
117,57-74-9,4.29,uci,ClC12C3C(C(C1(Cl)Cl)(C(=C2Cl)Cl)Cl)C(C(C3)Cl)Cl
118,57653-85-7,3.93,uci,O1c3cc(c(c(c3(Oc2cc(c(c(c12)Cl)Cl)Cl))Cl)Cl)Cl
119,576-24-9,1.23,uci,Clc1c(cccc1Cl)O
120,57567-84-7,0.11,uci,O=C(O)C1CCC(C)CC1(C(=O)O)
121,575-41-7,3.37,uci,Cc1cc(cc2c1cccc2)C
122,57465-28-8,4.68,uci,Clc1c(ccc(c1)c1cc(c(c(c1)Cl)Cl)Cl)Cl
123,57-15-8,0.27,uci,CC(C(Cl)(Cl)Cl)(C)O
124,57117-44-9,3.94,uci,o2c1cc(c(c(c1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl)Cl
125,57117-43-8,3.57,uci,o2c1c(ccc(c1Cl)Cl)c3cc(c(c(c23)Cl)Cl)Cl
126,57117-41-6,3.58,uci,o2c1cc(c(cc1c3c2cc(c(c3Cl)Cl)Cl)Cl)Cl
127,57117-39-2,2.72,uci,o2c1cc(c(cc1c3ccc(c(c23)Cl)Cl)Cl)Cl
128,57117-31-4,4.13,uci,o2c1cc(c(cc1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl
129,5707-44-8,2.82,uci,c1ccc(cc1)c2ccc(cc2)CC
130,57055-39-7,2.18,uci,O=C(O)C2(C)(CCCC3(c1cc(c(c(c1CCC23)Cl)C(C)C)Cl)(C))
131,57018-04-9,2.85,uci,O(c1c(cc(cc1Cl)C)Cl)P(OC)(OC)=S
132,569-64-2,1.86,uci,c1ccc(cc1)C(c2ccc(cc2)N(C)C)=C3C=CC(C=C3)=[N+](C)C
133,577-11-7,0.72,uci,O=C(OCC(CC)CCCC)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O
134,57837-19-1,0.84,uci,O=C(OC)C(N(C(=O)COC)c1c(cccc1C)C)C
135,59365-60-5,0.39,uci,Clc1c(cccc1)C(O)CO
136,579-10-2,0.07,uci,CN(c1ccccc1)C(=O)C
137,59261-08-4,4.66,uci,c2c(cc(c(c1c(cc(cc1Br)Br)Br)c2Br)Br)Br
138,5915-41-3,0.84,uci,n1c(nc(nc1NC(C)(C)C)Cl)NCC
139,591-35-5,1.92,uci,Oc1cc(cc(c1)Cl)Cl
140,591-27-5,1.22,uci,Nc1cc(ccc1)O
141,591-20-8,1.1,uci,Oc1cccc(c1)Br
142,59080-37-4,4.97,uci,c2cc(c(c1c(cccc1Br)Br)c(c2)Br)Br
143,59080-33-0,3.87,uci,c1ccc(cc1)c2c(cc(cc2Br)Br)Br
144,59039-21-3,3.79,uci,Clc1c(ccc(c1)Cl)Oc1ccc(cc1)Cl
145,5902-51-2,0.78,uci,O=C1NC(=C(C(=O)N1C(C)(C)C)Cl)C
146,58-90-2,2.16,uci,Clc1c(c(cc(c1Cl)Cl)Cl)O
147,583-78-8,1.11,uci,Oc1c(ccc(c1)Cl)Cl
148,5835-26-7,1.63,uci,O=C(O)C1(C)(CCCC2(C)(C3C(=CCC12)CC(C=C)(C)CC3))
149,583-39-1,0.41,uci,SC1=Nc2c(cccc2)N1
150,581-40-8,2.71,uci,Cc1cc2c(cc1C)cccc2
151,57960-19-7,2.38,uci,O=C(OC=1C(=O)c2ccccc2(C(=O)C=1CCCCCCCCCCCC))C
152,4883-72-1,0.45,uci,ON(C1CCCCC1)N=O
153,482-89-3,0.46,uci,O=C1c4ccccc4(NC1=C2Nc3ccccc3(C2(=O)))
154,622-97-9,1.5,uci,C=Cc1ccc(cc1)C
155,32669-06-0,2.6,uci,ClCCOC(c1ccccc1)c1ccccc1
156,330-55-2,1.27,uci,Clc1c(ccc(c1)NC(=O)N(OC)C)Cl
157,330-54-1,0.95,uci,Clc1c(ccc(c1)NC(=O)N(C)C)Cl
158,3296-90-0,0.42,uci,OCC(CO)(CBr)CBr
159,328-84-7,3.18,uci,FC(F)(F)c1ccc(c(c1)Cl)Cl
160,32861-85-1,3.59,uci,O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)Cl)cc2(OC)
161,32774-16-6,5.97,uci,c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2)Cl)Cl)Cl
162,3268-87-9,3.12,uci,O1c3c(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl
163,32598-14-4,4.28,uci,Clc1c(c(ccc1c1cc(c(cc1)Cl)Cl)Cl)Cl
164,34883-39-1,3.92,uci,Clc1c(cc(cc1)Cl)c1ccccc1
165,32598-13-3,4.35,uci,Clc1c(ccc(c1)c1cc(c(cc1)Cl)Cl)Cl
166,32598-11-1,5.08,uci,c1cc(c(cc1c2cc(ccc2Cl)Cl)Cl)Cl
167,32598-10-0,4.56,uci,Clc1c(ccc(c1)Cl)c1cc(c(cc1)Cl)Cl
168,3229-00-3,2.17,uci,BrCC(CBr)(CBr)CBr
169,3209-22-1,2.16,uci,O=[N+]([O-])c1cccc(c1Cl)Cl
170,320-60-5,3.37,uci,FC(F)(F)c1ccc(cc1Cl)Cl
171,315-18-4,1.42,uci,O=C(Oc1cc(c(c(c1)C)N(C)C)C)NC
172,33089-61-1,3.26,uci,N(=CN(C=Nc1ccc(cc1C)C)C)c2ccc(cc2C)C
173,3319-31-1,0.6,uci,O=C(c1c(ccc(c1)C(=O)OCC(CCCC)CC)C(=O)OCC(CCCC)CC)OCC(CCCC)CC
174,33284-53-6,4.39,uci,Clc1c(cc(c(c1Cl)Cl)Cl)c1ccccc1
175,33284-54-7,4.71,uci,Clc1c(c(c(cc1Cl)Cl)Cl)c1ccccc1
176,34643-46-4,3.77,uci,CCCSP(=S)(Oc1ccc(cc1Cl)Cl)OCC
177,346-10-1,0.49,uci,O=C(Nc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(O)c1)C(Oc2ccc(cc2C(C)(C)CC)C(C)(C)CC)CC
178,34256-82-1,1.3,uci,O=C(N(c1c(cccc1CC)C)COCC)CCl
179,34014-18-1,0.42,uci,O=C(NC)N(c1nnc(C(C)(C)C)s1)C
180,3389-71-7,3.81,uci,C1=CC2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl
181,33857-26-0,2.47,uci,Clc1cc2c(cc1)Oc1c(ccc(c1)Cl)O2
182,3380-34-5,1.7,uci,Oc1cc(ccc1Oc1c(cc(cc1)Cl)Cl)Cl
183,33629-47-9,3.29,uci,O=[N+]([O-])c1cc(cc(c1(NC(C)CC))[N+](=O)[O-])C(C)(C)C
184,33576-92-0,1.89,uci,O(c1ccccc1)P(OC)(OC)=S
185,335-76-2,2.65,uci,OC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
186,335-67-1,3.12,uci,FC(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F
187,3347-22-6,1.43,uci,N#CC2=C(C#N)SC=1C(=O)c3ccccc3(C(=O)C=1S2)
188,33423-92-6,3.76,uci,O1c3cc(cc(c3(Oc2c1cc(cc2Cl)Cl))Cl)Cl
189,3337-71-1,-0.12,uci,O=C(OC)NS(=O)(=O)c1ccc(N)cc1
190,333-41-5,1.8,uci,n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C
191,31508-00-6,4.38,uci,Clc1c(cc(c(c1)Cl)Cl)c1ccc(c(c1)Cl)Cl
192,314-40-9,0.6,uci,O=C1NC(=C(C(=O)N1C(C)CC)Br)C
193,311-89-7,1.3,uci,FC(N(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F
194,294-62-2,3.95,uci,C1CCCCCCCCCCC1
195,29253-36-9,2.78,uci,c1ccc2c(c1)cccc2C(C)C
196,2921-88-2,3.1,uci,n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl
197,29082-74-4,3.91,uci,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)C(=C(Cl)Cl)Cl
198,2885-00-9,-0.04,uci,CCCCCCCCCCCCCCCCCCS
199,28680-45-7,4.05,uci,C1=CC2(C(C1(C(C2(Cl)Cl)(Cl)Cl)Cl)Cl)Cl
200,28680-44-6,3.81,uci,C1(=C(C2(C(=C(C1(C2)Cl)Cl)Cl)Cl)Cl)Cl
201,28575-17-9,3.76,uci,c1cc(cc(c1)CC)c2cccc(c2)CC
202,283594-90-1,2.74,uci,O=C1OC3(C(OC(=O)CC(C)(C)C)=C1c2c(cc(cc2C)C)C)(CCCC3)
203,28299-29-8,0.22,uci,O=C(C(CC(=O)O)CCCCCCCCC=CCCCCCCCC)O
204,28249-77-6,2.25,uci,O=C(N(CC)CC)SCc1ccc(cc1)Cl
205,2814-20-2,0.11,uci,CC(C1=NC(=O)C=C(N1)C)C
206,28106-30-1,2.69,uci,CCc1ccccc1C=C
207,28076-73-5,4.14,uci,Clc1c(ccc(c1)Cl)Oc1c(cc(cc1)Cl)Cl
208,2764-72-9,0.76,uci,c1ccc[n+]2c1c1[n+](cc2)cccc1
209,27458-92-0,2.73,uci,CC(CCCCCCCCCCO)C
210,29446-15-9,2.88,uci,Clc1cc2c(cc1Cl)Oc1c(cccc1)O2
211,29690-50-9,3.58,uci,CC(C1C2C(CCC1)CCCC2)C
212,309-00-2,3.82,uci,ClC12C(=C(C(C3C2C2C=CC3C2)(C1(Cl)Cl)Cl)Cl)Cl
213,29761-21-5,2.73,uci,O=P(Oc1ccccc1)(Oc1ccccc1)OCCCCCCCC(C)C
214,3089-11-0,0.32,uci,COCN(c1nc(nc(n1)N(COC)COC)N(COC)COC)COC
215,307-55-1,4.31,uci,OC(=O)C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
216,3074-71-3,3.32,uci,CCCCC(C)C(C)C
217,30746-58-8,3.48,uci,Clc1c(c(c(c2c1Oc1c(cccc1)O2)Cl)Cl)Cl
218,306-52-5,0.08,uci,O=P(O)(O)OCC(Cl)(Cl)Cl
219,30560-19-1,-1.52,uci,O=C(NP(=O)(OC)SC)C
220,30171-80-3,1.11,uci,O(c1cc(c(c(c1)Br)Br)C)CC2OC2
221,3010-80-8,3.95,uci,OC(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl
222,300-76-5,0.93,uci,COP(=O)(OC(C(Br)(Cl)Cl)Br)OC
223,299-84-3,3.58,uci,O(c1cc(c(cc1Cl)Cl)Cl)P(OC)(OC)=S
224,298-07-7,0.62,uci,OP(=O)(OCC(CCCC)CC)OCC(CCCC)CC
225,298-06-6,0.45,uci,O(CC)P(OCC)(=S)S
226,298-04-4,2.48,uci,O(CC)P(OCC)(=S)SCCSCC
227,298-02-2,2.68,uci,O(CC)P(OCC)(=S)SCSCC
228,298-00-0,1.89,uci,O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1
229,3481-20-7,2.52,uci,Nc1c(c(cc(c1Cl)Cl)Cl)Cl
230,34883-41-5,3.44,uci,Clc1cc(cc(c1)c1ccccc1)Cl
231,4821-19-6,3.07,uci,Oc1c(cccc1C1CCCCC1)C1CCCCC1
232,4051-66-5,1.48,uci,O=C(NCCCCCCCCCCCCCCCCCC)NCCCCCCCCCCCCCCCCCC
233,41464-40-8,4.26,uci,Clc1ccc(cc1c1c(cc(cc1)Cl)Cl)Cl
234,41464-39-5,4.84,uci,c2cc(c1cc(ccc1Cl)Cl)c(c(c2)Cl)Cl
235,4130-42-1,3.53,uci,Oc1c(cc(cc1C(C)(C)C)CC)C(C)(C)C
236,41122-70-7,3.59,uci,N#Cc1ccc(cc1)c2ccc(cc2)CCCCCC
237,41083-11-8,3.88,uci,n1cnn(c1)[Sn](C2CCCCC2)(C3CCCCC3)C4CCCCC4
238,4101-68-2,1.93,uci,BrCCCCCCCCCCBr
239,40690-89-9,0.83,uci,N#CCCN(c1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-])CCOC(=O)c1ccccc1
240,40487-42-1,3.71,uci,O=[N+]([O-])c1cc(c(c(c1(NC(CC)CC))[N+](=O)[O-])C)C
241,35065-27-1,5.56,uci,c2c(c1cc(c(cc1Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl
242,40321-76-4,4.26,uci,O1c3cc(c(cc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl
243,40186-71-8,5.88,uci,Clc1cc(Cl)c(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl
244,39807-15-3,2.82,uci,O=C1OC(=NN1c2cc(OCC#C)c(cc2Cl)Cl)C(C)(C)C
245,39569-21-6,3.98,uci,Cc1c(c(c(c(c1Cl)Br)Br)Br)Br
246,39515-41-8/64257-84-7,3.04,uci,N#CC(OC(=O)C1C(C)(C)C1(C)(C))c3cccc(Oc2ccccc2)c3
247,39227-58-2,2.83,uci,Clc1c(cc(c2c1Oc1c(cccc1)O2)Cl)Cl
248,39227-28-6,4.0,uci,O1c3ccc(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl
249,41464-41-9,4.46,uci,Clc1c(cc(cc1)Cl)c1c(cccc1Cl)Cl
250,41464-42-0,4.85,uci,Clc1c(cc(cc1)Cl)c1cc(cc(c1)Cl)Cl
251,41464-51-1,5.43,uci,Clc1cc(Cl)c(cc1c1cccc(c1Cl)Cl)Cl
252,41483-43-6,2.27,uci,O=S(=O)(Oc1nc(nc(c1CCCC)C)NCC)N(C)C
253,479-27-6,0.78,uci,Nc1cccc2cccc(c12)N
254,475-03-6,3.33,uci,Cc1ccc2c(c1)CCCC2(C)C
255,47377-16-2,0.52,uci,OS(=O)(=O)c1ccc(cc1)CCCCCCCCCCCCCC
256,471-77-2,2.17,uci,O=C(O)C2(C)(CCCC3(C)(C1C(=CC(=C(C)C)CC1)CCC23))
257,4685-14-7,0.28,uci,C[n+]1ccc(cc1)c1cc[n+](cc1)C
258,462-08-8,0.07,uci,Nc1cnccc1
259,461-58-5,0.24,uci,NC(=N)NC#N
260,43222-48-6,1.3,uci,c1ccc(cc1)c3cc(c2ccccc2)[n+](n3C)C
261,43121-43-3,1.81,uci,O=C(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C
262,4292-75-5,3.29,uci,CCCCCCC1CCCCC1
263,42874-03-3,3.21,uci,O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)C(F)(F)F)cc2(OCC)
264,42576-02-3,3.18,uci,O=C(OC)c2cc(Oc1ccc(cc1Cl)Cl)ccc2[N+](=O)[O-]
265,42240-73-3,3.41,uci,Nc2ccc(c1ccc(N)c(c1Cl)Cl)c(c2Cl)Cl
266,4175-54-6,3.12,uci,CC1c2ccccc2C(CC1)C
267,4162-45-2,2.26,uci,OCCOc1c(cc(cc1Br)C(c2cc(c(OCCO)c(c2)Br)Br)(C)C)Br
268,39001-02-0,2.89,uci,o1c3c(c2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl
269,3864-99-1,3.57,uci,Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)n1nc2c(n1)cc(cc2)Cl
270,38640-62-9,3.27,uci,c2cc1ccc(cc1c(c2)C(C)C)C(C)C
271,3674-75-7,2.71,uci,c1ccc2c(c1)cc(c3ccccc23)CC
272,36559-22-5,4.53,uci,Clc1cc(ccc1c1c(c(ccc1)Cl)Cl)Cl
273,3648-21-3,0.88,uci,O=C(c1c(cccc1)C(=O)OCCCCCCC)OCCCCCCC
274,36335-67-8,2.46,uci,O=[N+]([O-])c1ccc(cc1(OP(OCC)(NC(C)CC)=S))C
275,361377-29-9,1.72,uci,Fc2c(ncnc2(Oc1ccccc1Cl))Oc4ccccc4(C(=NOC)C3=NOCCO3)
276,36065-30-2,4.32,uci,O(c1c(cc(cc1Br)Br)Br)CC(C)(CBr)Br
277,35860-37-8,3.7,uci,c2cc1c(cc(cc1C(C)C)C(C)C)c(c2)C(C)C
278,35822-46-9,3.67,uci,O1c3cc(c(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl)Cl
279,35694-08-7,5.81,uci,Clc1cc(c(c(c1Cl)Cl)Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl
280,35693-99-3,4.45,uci,Clc1c(cc(cc1)Cl)c1c(ccc(c1)Cl)Cl
281,35554-44-0,1.81,uci,n1ccn(c1)CC(OCC=C)c2ccc(cc2Cl)Cl
